TransformerID,TimeZoneID,kVARating,HighSideVoltage,LowSideVoltage,PhaseCount,CircuitPhaseForTfmrPhaseX,CircuitPhaseForTfmrPhaseY,CircuitPhaseForTfmrPhaseZ,NumberOfServices,OHorUG,Model,Region,Division,SerialNumber,Manufacturer,YearManufactured,Latitude,Longitude,WeatherStationID,StartDate,EndDate,Shape,InstallationDate,NormalLife,CircuitDistance
XFR10965,EasternUSNoDst,100,13200,240,1,B,,,1,,,Lake,West,,,,29.6547517,-82.41211537,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010C1BC0B5CE9DA73D406D4C2319609A54C0,,180000,
XFR11197,EasternUSNoDst,10,13200,240,1,C,,,1,,,Lake,West,,,,29.65981569,-82.41184465,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010CF5CA5AAEE9A83D4028E4ABA95B9A54C0,,180000,
XFR11216,EasternUSNoDst,5,13200,240,1,C,,,1,,,Lake,West,,,,29.66158276,-82.41633864,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010C3FDED17C5DA93D403903D84AA59A54C0,,180000,
XFR11247,EasternUSNoDst,100,13200,240,1,B,,,1,,,Lake,West,,,,29.65486858,-82.41253957,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010CD195A077A5A73D4037345F0C679A54C0,,180000,
XFR11248,EasternUSNoDst,100,13200,240,1,B,,,2,,,Lake,West,,,,29.65433177,-82.41247674,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010C0CD56D4982A73D4013F8D904669A54C0,,180000,
XFR11249,EasternUSNoDst,50,13200,240,1,A,,,1,,,Lake,West,,,,29.65436044,-82.41263874,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010C718E5C2A84A73D4082D64CAC689A54C0,,180000,
XFR11250,EasternUSNoDst,100,13200,240,1,A,,,2,,,Lake,West,,,,29.65431541,-82.41295316,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010CEBE5E83681A73D40D7AB1BD36D9A54C0,,180000,
XFR11303,EasternUSNoDst,100,13200,240,1,C,,,2,,,Lake,West,,,,29.65504079,-82.41369515,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010C0445DFC0B0A73D40BC3634FB799A54C0,,180000,
XFR11304,EasternUSNoDst,100,13200,240,1,C,,,1,,,Lake,West,,,,29.65535514,-82.41277756,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010CD5ABB65AC5A73D40F6BC93F26A9A54C0,,180000,
XFR11305,EasternUSNoDst,175,13200,240,1,C,,,1,,,Lake,West,,,,29.65495561,-82.41264861,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010CC17DB42BABA73D408656B5D5689A54C0,,180000,
XFR11314,EasternUSNoDst,50,13200,240,1,C,,,2,,,Lake,West,,,,29.65938306,-82.41506952,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010CC300F453CDA83D40BDC8C27F909A54C0,,180000,
XFR11625,EasternUSNoDst,100,13200,240,1,B,,,3,,,Lake,West,,,,29.65295016,-82.41241345,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010CF085F1BD27A73D40E4295FFB649A54C0,,180000,
XFR11626,EasternUSNoDst,100,13200,240,1,A,,,2,,,Lake,West,,,,29.65345555,-82.41246847,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010C02BEF6DC48A73D40316226E2659A54C0,,180000,
XFR11706,EasternUSNoDst,100,13200,240,1,B,,,1,,,Lake,West,,,,29.65362664,-82.41247833,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010C2310421354A73D40EC3C850B669A54C0,,180000,
XFR133309,EasternUSNoDst,37,13200,240,1,A,,,2,,,Lake,West,,,,29.66779908,-82.41599809,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010C682062E1F4AA3D4005D077B69F9A54C0,,180000,
XFR167950,EasternUSNoDst,75,13200,240,1,B,,,0,,,Lake,West,,,,29.65483619,-82.41332252,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010C9B323958A3A73D40779F47E0739A54C0,,180000,
XFR167951,EasternUSNoDst,175,13200,240,1,A,,,2,,,Lake,West,,,,29.65450329,-82.41370772,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010C4E6108878DA73D401709F42F7A9A54C0,,180000,
XFR167952,EasternUSNoDst,75,13200,240,1,C,,,0,,,Lake,West,,,,29.65552297,-82.41382985,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010CCD31785AD0A73D4028CA2F307C9A54C0,,180000,
XFR167953,EasternUSNoDst,175,13200,240,1,C,,,4,,,Lake,West,,,,29.65508043,-82.41332636,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010CD01ED159B3A73D4021EF67F0739A54C0,,180000,
XFR167954,EasternUSNoDst,175,13200,240,1,A,,,2,,,Lake,West,,,,29.65387798,-82.41290293,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010C492F168C64A73D40988C69006D9A54C0,,180000,
XFR8344,EasternUSNoDst,25,13200,240,1,A,,,1,,,Lake,West,,,,29.66714045,-82.41124527,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010C863A76B7C9AA3D403865ADD7519A54C0,,180000,
XFR8345,EasternUSNoDst,50,13200,240,1,A,,,3,,,Lake,West,,,,29.66685105,-82.41182858,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010CD6ED1EC0B6AA3D40AFEF43665B9A54C0,,180000,
XFR83921,EasternUSNoDst,50,13200,240,1,A,,,3,,,Lake,West,,,,29.66947744,-82.41571849,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010C020192DF62AB3D4076EBBC219B9A54C0,,180000,
XFR8632,EasternUSNoDst,25,13200,240,1,C,,,1,,,Lake,West,,,,29.67013311,-82.42300656,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010C8E39FFD78DAB3D40FA2A1C8A129B54C0,,180000,
XFR8634,EasternUSNoDst,25,13200,240,1,C,,,1,,,Lake,West,,,,29.67007553,-82.42071794,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010CD10EF6118AAB3D40C047F10AED9A54C0,,180000,
XFR8635,EasternUSNoDst,25,13200,240,1,C,,,1,,,Lake,West,,,,29.67009145,-82.42151735,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010C5B20F91C8BAB3D405A0FEA23FA9A54C0,,180000,
XFR8636,EasternUSNoDst,37,13200,240,1,C,,,2,,,Lake,West,,,,29.66766645,-82.42286862,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010C89975130ECAA3D40452E9047109B54C0,,180000,
XFR8637,EasternUSNoDst,25,13200,240,1,A,,,1,,,Lake,West,,,,29.66772873,-82.41257834,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010CBA7E3645F0AA3D40A18EFDAE679A54C0,,180000,
XFR8638,EasternUSNoDst,25,13200,240,1,C,,,1,,,Lake,West,,,,29.66865467,-82.41258223,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010C92F0DDF32CAB3D40A0184EBF679A54C0,,180000,
XFR8639,EasternUSNoDst,25,13200,240,1,A,,,2,,,Lake,West,,,,29.66820393,-82.4125715,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010C7314A2690FAB3D40B09E4792679A54C0,,180000,
XFR8640,EasternUSNoDst,25,13200,240,1,C,,,2,,,Lake,West,,,,29.66774355,-82.41451516,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010CB530C43DF1AA3D404AF89B6A879A54C0,,180000,
XFR8641,EasternUSNoDst,50,13200,240,1,C,,,3,,,Lake,West,,,,29.6673922,-82.4145216,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010C84BF0E37DAAA3D4010DB9F85879A54C0,,180000,
XFR8642,EasternUSNoDst,37,13200,240,1,C,,,1,,,Lake,West,,,,29.66886832,-82.41837302,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010C9C7836F43AAB3D40D87FA59FC69A54C0,,180000,
XFR8643,EasternUSNoDst,25,13200,240,1,A,,,3,,,Lake,West,,,,29.66837253,-82.41687642,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010C108341761AAB3D40CD12711AAE9A54C0,,180000,
XFR8644,EasternUSNoDst,25,13200,240,1,A,,,1,,,Lake,West,,,,29.66932644,-82.41675862,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010CF55047FA58AB3D40B8D8542CAC9A54C0,,180000,
XFR8645,EasternUSNoDst,15,13200,240,1,C,,,1,,,Lake,West,,,,29.66936716,-82.41789384,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010C5C5D76A55BAB3D40D6F4C8C5BE9A54C0,,180000,
XFR8646,EasternUSNoDst,25,13200,240,1,A,,,2,,,Lake,West,,,,29.66872289,-82.41572289,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010CF42F686C31AB3D40A19C29349B9A54C0,,180000,
XFR8648,EasternUSNoDst,25,13200,240,1,C,,,0,,,Lake,West,,,,29.66888199,-82.42007823,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010CBCE8A4D93BAB3D40A2BECF8FE29A54C0,,180000,
XFR8649,EasternUSNoDst,50,13200,240,1,C,,,2,,,Lake,West,,,,29.66947493,-82.42044526,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010CF9CA88B562AB3D40497D3993E89A54C0,,180000,
XFR8650,EasternUSNoDst,37,13200,240,1,C,,,3,,,Lake,West,,,,29.66866585,-82.41390436,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010C93BA64AF2DAB3D40E2EEB9687D9A54C0,,180000,
XFR8651,EasternUSNoDst,25,13200,240,1,C,,,1,,,Lake,West,,,,29.6670774,-82.41787379,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010CACCD9895C5AA3D40EEA6B971BE9A54C0,,180000,
XFR8652,EasternUSNoDst,37,13200,240,1,A,,,3,,,Lake,West,,,,29.6676912,-82.41788731,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010C2FA472CFEDAA3D40A6426EAABE9A54C0,,180000,
XFR8654,EasternUSNoDst,10,13200,240,1,A,,,1,,,Lake,West,,,,29.66873597,-82.41632688,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010CA1DDE24732AB3D40334B7C19A59A54C0,,180000,
XFR8655,EasternUSNoDst,25,13200,240,1,C,,,1,,,Lake,West,,,,29.66812789,-82.41933895,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010C4A53006E0AAB3D40D4E00473D69A54C0,,180000,
XFR8656,EasternUSNoDst,25,13200,240,1,C,,,2,,,Lake,West,,,,29.66818875,-82.42003203,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010CF206ED6A0EAB3D40C07D08CEE19A54C0,,180000,
XFR8657,EasternUSNoDst,15,13200,240,1,C,,,2,,,Lake,West,,,,29.66735285,-82.41258946,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010C1C9EE8A2D7AA3D4031CBA2DD679A54C0,,180000,
XFR8658,EasternUSNoDst,50,13200,240,1,C,,,3,,,Lake,West,,,,29.66887047,-82.42157024,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010C30285B183BAB3D4053A1B901FB9A54C0,,180000,
XFR8659,EasternUSNoDst,25,13200,240,1,C,,,1,,,Lake,West,,,,29.6681725,-82.42228811,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010C5BA3685A0DAB3D40DF6AB1C4069B54C0,,180000,
XFR8660,EasternUSNoDst,50,13200,240,1,C,,,2,,,Lake,West,,,,29.66598764,-82.4145087,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010C9B096C2A7EAA3D40FACA844F879A54C0,,180000,
XFR8661,EasternUSNoDst,25,13200,240,1,A,,,1,,,Lake,West,,,,29.66646384,-82.41634968,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010CD5ADDF5F9DAA3D4018CB1C79A59A54C0,,180000,
XFR8662,EasternUSNoDst,50,13200,240,1,C,,,2,,,Lake,West,,,,29.66647085,-82.41450828,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010C67A057D59DAA3D404C73BF4D879A54C0,,180000,
XFR8663,EasternUSNoDst,50,13200,240,1,A,,,2,,,Lake,West,,,,29.66691533,-82.41634828,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010C865E8CF6BAAA3D4033BA4573A59A54C0,,180000,
XFR8664,EasternUSNoDst,25,13200,240,1,C,,,1,,,Lake,West,,,,29.66690901,-82.41451107,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010C1338798CBAAA3D4014956D59879A54C0,,180000,
XFR8665,EasternUSNoDst,25,13200,240,1,A,,,1,,,Lake,West,,,,29.66566758,-82.41555315,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010C3FB1C03069AA3D40393F3C6C989A54C0,,180000,
XFR8666,EasternUSNoDst,25,13200,240,1,C,,,1,,,Lake,West,,,,29.66592684,-82.41838766,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010C0B4B642E7AAA3D40102906DDC69A54C0,,180000,
XFR8667,EasternUSNoDst,50,13200,240,1,C,,,2,,,Lake,West,,,,29.66635859,-82.4195137,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010C23FD0B7A96AA3D40027BF84FD99A54C0,,180000,
XFR8668,EasternUSNoDst,50,13200,240,1,A,,,2,,,Lake,West,,,,29.66736316,-82.41634751,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010C91C8E64FD8AA3D40F9340870A59A54C0,,180000,
XFR8669,EasternUSNoDst,15,13200,240,1,A,,,3,,,Lake,West,,,,29.66634755,-82.41283019,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010C3B06BEC095AA3D405D3B55CF6B9A54C0,,180000,
XFR8673,EasternUSNoDst,25,13200,240,1,A,,,2,,,Lake,West,,,,29.66512734,-82.4189684,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010CE880FBC845AA3D403D10D660D09A54C0,,180000,
XFR8674,EasternUSNoDst,25,13200,240,1,A,,,2,,,Lake,West,,,,29.66510971,-82.42080334,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010C58FB46A144AA3D4001E02571EE9A54C0,,180000,
XFR8675,EasternUSNoDst,37,13200,240,1,A,,,3,,,Lake,West,,,,29.66479576,-82.41839572,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010CD82B1A0E30AA3D40C3E5DBFEC69A54C0,,180000,
XFR8677,EasternUSNoDst,100,13200,240,1,B,,,4,,,Lake,West,,,,29.66307182,-82.41811085,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010C67DA3A13BFA93D40920B0354C29A54C0,,180000,
XFR8681,EasternUSNoDst,100,13200,240,1,A,,,3,,,Lake,West,,,,29.66302518,-82.41711611,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010C807E9A04BCA93D40A19FC407B29A54C0,,180000,
XFR8684,EasternUSNoDst,15,13200,240,1,C,,,1,,,Lake,West,,,,29.66422282,-82.41631086,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010C866EA9810AAA3D4059364ED6A49A54C0,,180000,
XFR8686,EasternUSNoDst,25,13200,240,1,C,,,1,,,Lake,West,,,,29.66572725,-82.42136343,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010C8378ED196DAA3D409DED4C9EF79A54C0,,180000,
XFR8688,EasternUSNoDst,50,13200,240,1,B,,,1,,,Lake,West,,,,29.66595713,-82.42221912,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010C4198A32A7CAA3D405A4F53A3059B54C0,,180000,
XFR8702,EasternUSNoDst,25,13200,240,1,A,,,0,,,Lake,West,,,,29.66384243,-82.41916597,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010C83E4D593F1A93D40E1747D9DD39A54C0,,180000,
XFR93230,EasternUSNoDst,75,13200,240,1,C,,,2,,,Lake,West,,,,29.67008328,-82.41922971,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010C46B0DD938AAB3D40908ADAA8D49A54C0,,180000,
XFR95150,EasternUSNoDst,50,13200,240,1,C,,,2,,,Lake,West,,,,29.67089362,-82.42300386,,1/1/1900 0:00,6/6/2079 0:00,0xE6100000010CFC1D29AFBFAB3D40A2D8C47E129B54C0,,180000,
